"Statistic Label","Year","Day of Week","UNIT","VALUE"
"All Fatal and Injury Collisions","2007","All days","Number","5467"
"All Fatal and Injury Collisions","2007","Sunday","Number","828"
"All Fatal and Injury Collisions","2007","Monday","Number","744"
"All Fatal and Injury Collisions","2007","Tuesday","Number","736"
"All Fatal and Injury Collisions","2007","Wednesday","Number","744"
"All Fatal and Injury Collisions","2007","Thursday","Number","754"
"All Fatal and Injury Collisions","2007","Friday","Number","851"
"All Fatal and Injury Collisions","2007","Saturday","Number","810"
"All Fatal and Injury Collisions","2008","All days","Number","6736"
"All Fatal and Injury Collisions","2008","Sunday","Number","943"
"All Fatal and Injury Collisions","2008","Monday","Number","954"
"All Fatal and Injury Collisions","2008","Tuesday","Number","995"
"All Fatal and Injury Collisions","2008","Wednesday","Number","921"
"All Fatal and Injury Collisions","2008","Thursday","Number","957"
"All Fatal and Injury Collisions","2008","Friday","Number","1009"
"All Fatal and Injury Collisions","2008","Saturday","Number","957"
"All Fatal and Injury Collisions","2009","All days","Number","6615"
"All Fatal and Injury Collisions","2009","Sunday","Number","969"
"All Fatal and Injury Collisions","2009","Monday","Number","1018"
"All Fatal and Injury Collisions","2009","Tuesday","Number","835"
"All Fatal and Injury Collisions","2009","Wednesday","Number","899"
"All Fatal and Injury Collisions","2009","Thursday","Number","923"
"All Fatal and Injury Collisions","2009","Friday","Number","1047"
"All Fatal and Injury Collisions","2009","Saturday","Number","924"
"All Fatal and Injury Collisions","2010","All days","Number","5780"
"All Fatal and Injury Collisions","2010","Sunday","Number","838"
"All Fatal and Injury Collisions","2010","Monday","Number","774"
"All Fatal and Injury Collisions","2010","Tuesday","Number","749"
"All Fatal and Injury Collisions","2010","Wednesday","Number","769"
"All Fatal and Injury Collisions","2010","Thursday","Number","780"
"All Fatal and Injury Collisions","2010","Friday","Number","1012"
"All Fatal and Injury Collisions","2010","Saturday","Number","858"
"All Fatal and Injury Collisions","2011","All days","Number","5230"
"All Fatal and Injury Collisions","2011","Sunday","Number","719"
"All Fatal and Injury Collisions","2011","Monday","Number","725"
"All Fatal and Injury Collisions","2011","Tuesday","Number","773"
"All Fatal and Injury Collisions","2011","Wednesday","Number","755"
"All Fatal and Injury Collisions","2011","Thursday","Number","713"
"All Fatal and Injury Collisions","2011","Friday","Number","810"
"All Fatal and Injury Collisions","2011","Saturday","Number","735"
"All Fatal and Injury Collisions","2012","All days","Number","5610"
"All Fatal and Injury Collisions","2012","Sunday","Number","806"
"All Fatal and Injury Collisions","2012","Monday","Number","781"
"All Fatal and Injury Collisions","2012","Tuesday","Number","787"
"All Fatal and Injury Collisions","2012","Wednesday","Number","774"
"All Fatal and Injury Collisions","2012","Thursday","Number","807"
"All Fatal and Injury Collisions","2012","Friday","Number","922"
"All Fatal and Injury Collisions","2012","Saturday","Number","733"
"All Fatal and Injury Collisions","2013","All days","Number","4976"
"All Fatal and Injury Collisions","2013","Sunday","Number","605"
"All Fatal and Injury Collisions","2013","Monday","Number","712"
"All Fatal and Injury Collisions","2013","Tuesday","Number","702"
"All Fatal and Injury Collisions","2013","Wednesday","Number","741"
"All Fatal and Injury Collisions","2013","Thursday","Number","744"
"All Fatal and Injury Collisions","2013","Friday","Number","780"
"All Fatal and Injury Collisions","2013","Saturday","Number","692"
"All Fatal and Injury Collisions","2014","All days","Number","5796"
"All Fatal and Injury Collisions","2014","Sunday","Number","695"
"All Fatal and Injury Collisions","2014","Monday","Number","867"
"All Fatal and Injury Collisions","2014","Tuesday","Number","817"
"All Fatal and Injury Collisions","2014","Wednesday","Number","788"
"All Fatal and Injury Collisions","2014","Thursday","Number","846"
"All Fatal and Injury Collisions","2014","Friday","Number","929"
"All Fatal and Injury Collisions","2014","Saturday","Number","854"
"All Fatal and Injury Collisions","2015","All days","Number","5831"
"All Fatal and Injury Collisions","2015","Sunday","Number","765"
"All Fatal and Injury Collisions","2015","Monday","Number","861"
"All Fatal and Injury Collisions","2015","Tuesday","Number","851"
"All Fatal and Injury Collisions","2015","Wednesday","Number","876"
"All Fatal and Injury Collisions","2015","Thursday","Number","843"
"All Fatal and Injury Collisions","2015","Friday","Number","885"
"All Fatal and Injury Collisions","2015","Saturday","Number","750"
"All Fatal and Injury Collisions","2016","All days","Number","5891"
"All Fatal and Injury Collisions","2016","Sunday","Number","743"
"All Fatal and Injury Collisions","2016","Monday","Number","845"
"All Fatal and Injury Collisions","2016","Tuesday","Number","851"
"All Fatal and Injury Collisions","2016","Wednesday","Number","868"
"All Fatal and Injury Collisions","2016","Thursday","Number","841"
"All Fatal and Injury Collisions","2016","Friday","Number","922"
"All Fatal and Injury Collisions","2016","Saturday","Number","821"
"All Fatal and Injury Collisions","2017","All days","Number","6055"
