"Statistic Label","Age Group","Sex","Province County or City","CensusYear","UNIT","VALUE"
"2002 Population","5 - 9 years","Both sexes","State","2002","Number","264090"
"2002 Population","5 - 9 years","Both sexes","Leinster","2002","Number","139759"
"2002 Population","5 - 9 years","Both sexes","Carlow","2002","Number","3143"
"2002 Population","5 - 9 years","Both sexes","Dublin","2002","Number","67998"
"2002 Population","5 - 9 years","Both sexes","Dublin City","2002","Number","25309"
"2002 Population","5 - 9 years","Both sexes","Dún Laoghaire-Rathdown","2002","Number","11938"
"2002 Population","5 - 9 years","Both sexes","Fingal","2002","Number","13970"
"2002 Population","5 - 9 years","Both sexes","South Dublin","2002","Number","16781"
"2002 Population","5 - 9 years","Both sexes","Kildare","2002","Number","12384"
"2002 Population","5 - 9 years","Both sexes","Kilkenny","2002","Number","5781"
"2002 Population","5 - 9 years","Both sexes","Laois","2002","Number","4255"
"2002 Population","5 - 9 years","Both sexes","Longford","2002","Number","2217"
"2002 Population","5 - 9 years","Both sexes","Louth","2002","Number","7087"
"2002 Population","5 - 9 years","Both sexes","Meath","2002","Number","9932"
"2002 Population","5 - 9 years","Both sexes","Offaly","2002","Number","4760"
"2002 Population","5 - 9 years","Both sexes","Westmeath","2002","Number","5317"
"2002 Population","5 - 9 years","Both sexes","Wexford","2002","Number","8495"
"2002 Population","5 - 9 years","Both sexes","Wicklow","2002","Number","8390"
"2002 Population","5 - 9 years","Both sexes","Munster","2002","Number","74623"
"2002 Population","5 - 9 years","Both sexes","Clare","2002","Number","7440"
"2002 Population","5 - 9 years","Both sexes","Cork","2002","Number","30380"
"2002 Population","5 - 9 years","Both sexes","Cork City","2002","Number","6723"
"2002 Population","5 - 9 years","Both sexes","Cork County","2002","Number","23657"
"2002 Population","5 - 9 years","Both sexes","Kerry","2002","Number","8583"
"2002 Population","5 - 9 years","Both sexes","Limerick","2002","Number","11436"
"2002 Population","5 - 9 years","Both sexes","Limerick City","2002","Number","3260"
"2002 Population","5 - 9 years","Both sexes","Limerick County","2002","Number","8176"
"2002 Population","5 - 9 years","Both sexes","North Tipperary","2002","Number","4350"
"2002 Population","5 - 9 years","Both sexes","South Tipperary","2002","Number","5605"
"2002 Population","5 - 9 years","Both sexes","Waterford","2002","Number","6829"
"2002 Population","5 - 9 years","Both sexes","Waterford City","2002","Number","2812"
"2002 Population","5 - 9 years","Both sexes","Waterford County","2002","Number","4017"
"2002 Population","5 - 9 years","Both sexes","Connacht","2002","Number","31404"
"2002 Population","5 - 9 years","Both sexes","Galway","2002","Number","13941"
"2002 Population","5 - 9 years","Both sexes","Galway City","2002","Number","3415"
"2002 Population","5 - 9 years","Both sexes","Galway County","2002","Number","10526"
"2002 Population","5 - 9 years","Both sexes","Leitrim","2002","Number","1770"
"2002 Population","5 - 9 years","Both sexes","Mayo","2002","Number","8144"
"2002 Population","5 - 9 years","Both sexes","Roscommon","2002","Number","3661"
"2002 Population","5 - 9 years","Both sexes","Sligo","2002","Number","3888"
"2002 Population","5 - 9 years","Both sexes","Ulster (part of)","2002","Number","18304"
"2002 Population","5 - 9 years","Both sexes","Cavan","2002","Number","4143"
"2002 Population","5 - 9 years","Both sexes","Donegal","2002","Number","10358"
"2002 Population","5 - 9 years","Both sexes","Monaghan","2002","Number","3803"
"2002 Population","5 - 9 years","Male","State","2002","Number","135890"
"2002 Population","5 - 9 years","Male","Leinster","2002","Number","72015"
"2002 Population","5 - 9 years","Male","Carlow","2002","Number","1614"
"2002 Population","5 - 9 years","Male","Dublin","2002","Number","35250"
"2002 Population","5 - 9 years","Male","Dublin City","2002","Number","12933"
"2002 Population","5 - 9 years","Male","Dún Laoghaire-Rathdown","2002","Number","6196"
"2002 Population","5 - 9 years","Male","Fingal","2002","Number","7370"
"2002 Population","5 - 9 years","Male","South Dublin","2002","Number","8751"
"2002 Population","5 - 9 years","Male","Kildare","2002","Number","6309"
"2002 Population","5 - 9 years","Male","Kilkenny","2002","Number","2932"
"2002 Population","5 - 9 years","Male","Laois","2002","Number","2182"
"2002 Population","5 - 9 years","Male","Longford","2002","Number","1109"
"2002 Population","5 - 9 years","Male","Louth","2002","Number","3601"
"2002 Population","5 - 9 years","Male","Meath","2002","Number","5142"
"2002 Population","5 - 9 years","Male","Offaly","2002","Number","2447"
"2002 Population","5 - 9 years","Male","Westmeath","2002","Number","2732"
"2002 Population","5 - 9 years","Male","Wexford","2002","Number","4337"
"2002 Population","5 - 9 years","Male","Wicklow","2002","Number","4360"
"2002 Population","5 - 9 years","Male","Munster","2002","Number","38244"
"2002 Population","5 - 9 years","Male","Clare","2002","Number","3888"
"2002 Population","5 - 9 years","Male","Cork","2002","Number","15600"
"2002 Population","5 - 9 years","Male","Cork City","2002","Number","3513"
"2002 Population","5 - 9 years","Male","Cork County","2002","Number","12087"
"2002 Population","5 - 9 years","Male","Kerry","2002","Number","4294"
"2002 Population","5 - 9 years","Male","Limerick","2002","Number","5838"
