Year,County,Age Range,Gender,Count,Missing
2023,Monaghan,18 to 24 years,Unknown,0,N
2023,Monaghan,25 to 34 years,Male,20,N
2023,Monaghan,25 to 34 years,Female,0,Y
2023,Monaghan,25 to 34 years,Non-binary,0,N
2023,Monaghan,25 to 34 years,In another way,0,N
2023,Monaghan,25 to 34 years,Unknown,0,N
2023,Monaghan,35 to 44 years,Male,34,N
2023,Monaghan,35 to 44 years,Female,18,N
2023,Monaghan,35 to 44 years,Non-binary,0,N
2023,Monaghan,35 to 44 years,In another way,0,N
2023,Monaghan,35 to 44 years,Unknown,0,N
2023,Monaghan,45 to 64 years,Male,35,N
2023,Monaghan,45 to 64 years,Female,17,N
2023,Monaghan,45 to 64 years,Non-binary,0,Y
2023,Monaghan,45 to 64 years,In another way,0,N
2023,Monaghan,45 to 64 years,Unknown,0,N
2023,Monaghan,65 years or over,Male,15,N
2023,Monaghan,65 years or over,Female,0,Y
2023,Monaghan,65 years or over,Non-binary,0,N
2023,Monaghan,65 years or over,In another way,0,N
2023,Monaghan,65 years or over,Unknown,0,N
2023,Monaghan,Unknown,Male,0,N
2023,Monaghan,Unknown,Female,0,N
2023,Monaghan,Unknown,Non-binary,0,N
2023,Monaghan,Unknown,In another way,0,N
2023,Monaghan,Unknown,Unknown,0,N
2023,Mayo,Under 18,Male,0,Y
2023,Mayo,Under 18,Female,0,Y
2023,Mayo,Under 18,Non-binary,0,N
2023,Mayo,Under 18,In another way,0,N
2023,Mayo,Under 18,Unknown,0,N
2023,Mayo,18 to 24 years,Male,6,N
2023,Mayo,18 to 24 years,Female,0,Y
2023,Mayo,18 to 24 years,Non-binary,0,N
2023,Mayo,18 to 24 years,In another way,0,N
